date,thu,tinh,ngay_text,ky_hieu,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-01-02,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/01/2020,9AN-6AN-2AN,4,9,77,82,19,56,76,14,10,18,86,4,69,41,29,1,12,87,82,38,11,31,76,58,34,88,48
2020-01-03,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 03/01/2020,13AM-8AM-14AM,43,1,58,82,7,6,79,37,86,50,84,73,23,86,38,60,39,30,75,36,63,87,33,82,89,2,37
2020-01-04,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/01/2020,13AL-1AL-10AL,49,19,7,19,79,35,84,20,88,15,98,9,11,97,6,19,61,54,67,99,86,53,20,47,71,70,7
2020-01-05,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/01/2020,13AK-7AK-10AK,21,81,93,73,49,56,64,64,88,70,55,94,95,66,74,12,54,59,8,73,29,62,36,0,43,47,82
2020-01-06,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/01/2020,6AH-1AH-5AH,12,16,45,84,25,23,35,69,72,27,46,59,94,43,34,6,14,44,47,70,16,38,84,77,89,23,10
2020-01-07,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/01/2020,2AM-1AM-7AM,54,95,30,42,0,71,52,10,71,33,49,72,11,23,87,13,54,67,85,98,69,78,98,16,87,98,28
2020-01-08,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/01/2020,6AF-3AF-12AF,4,32,23,49,52,51,2,4,58,64,92,8,3,72,3,83,93,56,5,5,75,13,97,91,71,86,45
2020-01-09,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/01/2020,8AE-10AE-1AE,74,90,75,47,74,7,58,47,90,27,36,0,3,75,81,80,61,62,18,30,27,14,47,8,94,70,5
2020-01-10,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/01/2020,14AD-2AD-7AD,96,49,80,32,99,73,30,14,20,86,8,88,38,64,94,48,61,58,86,60,31,50,58,96,22,91,41
2020-01-11,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/01/2020,14AC-11AC-8AC,58,9,89,21,15,7,81,90,37,80,51,77,24,94,91,78,30,6,44,85,76,12,94,35,78,12,8
2020-01-12,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 12/01/2020,8AB-10AB-4AB,80,46,76,11,58,90,69,40,81,69,15,60,44,42,20,8,29,31,35,59,86,38,57,8,24,53,65
2020-01-13,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 13/01/2020,12BZ-15BZ-9BZ,44,59,4,3,14,56,71,92,49,7,15,28,64,84,57,74,6,42,67,37,7,43,37,11,51,46,20
2020-01-14,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 14/01/2020,15BY-2BY-6BY,64,35,76,67,91,81,65,26,96,70,90,96,69,83,58,17,44,11,88,48,2,12,28,12,18,7,97
2020-01-15,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 15/01/2020,4BX-3BX-11BX,10,88,81,5,77,13,20,74,21,33,91,27,70,40,26,62,22,81,94,89,51,33,1,54,24,84,33
2020-01-16,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 16/01/2020,10BV-12BV-14BV,82,94,70,22,38,50,31,44,81,12,60,20,92,62,91,32,12,99,37,29,89,83,18,93,71,64,19
2020-01-17,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 17/01/2020,4BU-6BU-16BU-11BU,71,97,47,44,92,20,84,71,10,42,31,47,68,6,71,49,78,2,38,64,46,70,72,74,71,84,28
2020-01-18,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 18/01/2020,12BT-9BT-5BT,6,18,37,46,80,89,9,42,55,18,51,81,30,37,71,45,98,35,50,74,49,64,1,89,71,59,48
2020-01-19,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 19/01/2020,12BS-7BS-1BS,21,37,21,36,74,62,39,34,50,51,76,24,21,11,16,5,24,72,71,46,39,28,92,23,11,34,95
2020-01-20,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 20/01/2020,13BR-2BR-9BR,50,59,39,97,33,72,65,97,63,41,51,19,24,11,9,8,19,72,96,32,48,20,76,13,85,37,44
2020-01-21,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 21/01/2020,12BQ-2BQ-14BQ,97,47,2,25,48,58,65,13,63,1,95,72,54,71,40,72,35,19,43,93,17,7,87,61,6,55,85
2020-01-22,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 22/01/2020,20BP-16BP-17BP-19BP,49,83,21,92,31,17,51,94,75,55,29,43,49,70,76,48,11,42,95,78,36,57,98,58,9,30,62
2020-01-28,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 28/01/2020,4BM-3BM-16BM-18BM-17BM-23BM-19BM-9BM-10BM-21BM,40,95,73,63,33,51,68,26,87,59,81,13,40,48,13,29,33,2,46,45,83,7,17,84,90,81,4
2020-01-29,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 29/01/2020,1BL-7BL-2BL-3BL-11BL-10BL,89,83,63,79,25,94,35,2,99,88,63,98,65,77,93,10,15,21,87,74,95,77,20,13,28,15,82
2020-01-30,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 30/01/2020,12BK-15BK-2BK-10BK-14BK-9BK,12,92,58,23,38,5,21,75,4,60,38,45,79,85,83,41,97,41,17,11,89,52,51,65,23,82,34
2020-01-31,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 31/01/2020,3BH-9BH-14BH-7BH-8BH-15BH,15,64,66,84,12,69,36,15,69,99,38,76,49,75,39,88,43,22,83,51,61,53,51,68,54,29,61
2020-02-01,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 01/02/2020,3BG-7BG-4BG,30,85,63,68,27,30,46,39,41,75,39,17,1,22,62,99,7,39,32,48,65,25,15,22,71,82,57
2020-02-02,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/02/2020,3BF-11BF-9BF,34,18,66,58,38,73,53,18,63,96,10,16,92,10,5,21,92,72,92,30,81,50,40,40,89,38,11
